Department,Division
American Studies,Humanities
Architectural Studies,Humanities
Art & the History of Art,Humanities
Asian Languages/Civilizations,Humanities
Black Studies,Humanities
Classics,Humanities
English,Humanities
Environmental Studies,Humanities
European Studies,Humanities
Film & Media Studies,Humanities
French,Humanities
German,Humanities
History,Humanities
"Law, Jurisp & Social Thought",Humanities
Music,Humanities
Philosophy,Humanities
Religion,Humanities
Russian,Humanities
Spanish,Humanities
Theater & Dance,Humanities
Women's & Gender Studies,Humanities
"Sexuality, Women's & Gender Studies",Humanities
Independent Scholar,Interdisciplinary
Interdisciplinary,Interdisciplinary
Biochemistry Biophysics,Science & Mathematics
Biology,Science & Mathematics
Chemistry,Science & Mathematics
Computer Science,Science & Mathematics
Geology,Science & Mathematics
Mathematics,Science & Mathematics
Neuroscience,Science & Mathematics
Physics,Science & Mathematics
Statistics,Science & Mathematics
Anthropology,Social Sciences
Economics,Social Sciences
Political Science,Social Sciences
Psychology,Social Sciences
Sociology,Social Sciences
